1-15,-126.8350103002,49.9436816917,-124.8573760568,51.5233888009
1-14,-127.9267151232,50.6305021023,-125.8494378822,51.4884218352
1-13,-129.2122003539,50.2302895124,-126.7724999465,51.1874725248
1-11,-127.1694677392,49.9068290043,-126.1850034338,50.5986205228
1-10,-126.6905731182,49.8974896696,-125.2441237561,50.5068687035
1-12,-128.4515532388,49.4831063338,-126.1263718641,50.4627457328
1-9,-126.4092806077,49.4773488159,-125.3712408967,50.0311198204
1-6,-125.6586008094,49.2467155915,-124.4412192485,50.0539607575
1-8,-126.7842052358,48.6859457570,-125.0872859812,49.6647810284
1-5,-124.6757613463,48.7959682107,-123.5753725608,49.5895975882
1-7,-125.6098142948,48.9485263750,-124.5769426583,49.5527470247
1-1,-123.8861384851,48.2544323280,-123.0038294264,49.3487590728
1-4,-124.7463046070,48.5923521675,-123.5430146526,49.1527173516
1-3,-125.4821157702,48.2798024013,-123.8383390092,48.9885593191
1-2,-123.9651162189,48.2247644780,-123.3815040248,48.7274962101
2-15,-125.4478930510,50.3450423899,-124.4949650313,51.3686363413
2-14,-125.1199591523,50.2552707398,-123.7165184705,51.1921520363
2-13,-125.0031594576,50.0912934199,-123.7282369767,50.8636517049
2-12,-124.8964065719,49.7290120349,-123.7725952519,50.4186986975
2-5,-124.0806249793,49.3639577883,-123.2280473785,50.3573793750
2-16,-124.7855038111,49.1577424975,-123.2576304085,49.8222126995
2-11,-123.8397479879,50.0873779468,-122.5698928732,50.8377769810
2-6,-124.0094705474,49.6592049226,-123.0253042247,50.5375943710
2-10,-122.7292321434,49.7361417791,-122.0358220252,50.4713709602
2-9,-123.0253042247,49.6186272194,-122.1555921317,50.3013139675
2-7,-123.1815732420,49.6102507708,-122.6686560185,50.0873779468
2-8,-123.3224028463,49.1205109385,-121.9440895188,49.9381981615
2-18,-122.1214824124,49.2050456941,-121.3911312594,49.8725525541
2-19,-122.2991291287,49.2395420426,-121.7846373108,49.7460829590
2-17,-121.4539812575,49.2093195793,-120.9564471227,49.6806953396
2-2,-121.5051178137,48.9980731139,-120.9586760015,49.3845923982
2-3,-122.0934372694,48.9980731139,-121.2661964527,49.3734765191
2-1,-121.1975794659,48.9999712197,-120.5958081431,49.2605824468
2-4,-123.5257751332,48.9987255616,-121.7588729010,49.2796245937
3-46,-120.5592969014,51.8369151403,-119.6469982999,52.8767463873
3-44,-119.7698145671,52.0532164576,-119.0928566252,52.7045517684
